hour_of_day,day_of_week,failure_rate,location_Germany,location_India,location_Japan,location_USA,device_type_Linux,device_type_Mac,device_type_Windows,device_type_iOS,login_method_OTP,login_method_password
9,5,0.050000000000000044,False,False,True,False,False,False,False,False,True,False
6,2,0.050000000000000044,False,False,False,False,False,False,False,False,False,True
20,3,0.050000000000000044,True,False,False,False,False,True,False,False,False,False
9,1,0.050000000000000044,False,False,True,False,False,False,False,True,True,False
10,2,0.050000000000000044,True,False,False,False,False,False,True,False,True,False
12,1,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
12,4,0.050000000000000044,False,True,False,False,True,False,False,False,False,True
4,0,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
22,3,0.050000000000000044,False,False,True,False,False,True,False,False,False,False
15,4,0.050000000000000044,False,True,False,False,False,False,False,False,False,False
2,1,0.050000000000000044,False,True,False,False,False,False,True,False,False,True
15,1,0.050000000000000044,False,False,True,False,True,False,False,False,True,False
22,2,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
9,0,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
1,0,0.050000000000000044,True,False,False,False,False,True,False,False,True,False
4,1,0.050000000000000044,False,False,False,False,False,False,False,True,True,False
9,4,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
1,4,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
4,5,0.050000000000000044,False,False,True,False,True,False,False,False,False,False
6,2,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
16,3,0.050000000000000044,False,False,True,False,False,False,False,False,False,True
2,6,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
16,6,0.050000000000000044,True,False,False,False,False,True,False,False,False,True
2,6,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
18,5,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
11,0,0.050000000000000044,True,False,False,False,False,False,False,True,False,True
15,3,0.050000000000000044,False,False,False,False,False,True,False,False,False,True
18,2,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
1,3,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
18,2,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
9,3,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
16,4,0.050000000000000044,True,False,False,False,False,False,False,False,True,False
19,1,0.050000000000000044,False,True,False,False,False,False,True,False,True,False
13,0,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
11,6,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
22,4,0.050000000000000044,False,False,False,False,False,False,False,False,False,False
4,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
2,0,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
13,1,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
6,5,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
14,1,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
18,2,0.050000000000000044,True,False,False,False,False,False,True,False,False,False
0,2,0.050000000000000044,True,False,False,False,False,True,False,False,True,False
4,0,0.050000000000000044,False,False,False,False,False,False,False,False,True,False
8,5,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
5,3,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
22,4,0.050000000000000044,False,True,False,False,False,False,False,False,False,True
23,5,0.050000000000000044,False,False,False,False,False,False,True,False,True,False
2,0,0.050000000000000044,True,False,False,False,True,False,False,False,False,True
10,6,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
4,3,0.050000000000000044,False,True,False,False,False,False,False,False,True,False
0,1,0.050000000000000044,False,False,False,False,False,False,True,False,True,False
20,0,0.050000000000000044,False,False,False,True,False,False,True,False,False,False
15,6,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
20,0,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
4,2,0.050000000000000044,True,False,False,False,False,False,False,True,False,True
1,0,0.050000000000000044,False,False,False,False,False,False,False,True,False,False
10,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
11,1,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
11,5,0.050000000000000044,False,False,False,True,False,True,False,False,False,False
1,3,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
2,2,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
23,5,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
16,2,0.050000000000000044,True,False,False,False,False,False,False,True,False,False
15,3,0.050000000000000044,False,False,False,False,False,True,False,False,False,True
5,4,0.050000000000000044,False,True,False,False,True,False,False,False,True,False
1,2,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
3,5,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
2,2,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
20,1,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
8,4,0.050000000000000044,False,False,False,True,False,False,False,True,False,True
10,4,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
8,0,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
0,6,0.050000000000000044,True,False,False,False,False,True,False,False,False,True
8,3,0.050000000000000044,False,True,False,False,False,True,False,False,False,False
17,2,0.050000000000000044,False,False,False,False,True,False,False,False,False,True
6,0,0.050000000000000044,False,False,False,False,False,False,True,False,True,False
11,0,0.050000000000000044,False,False,False,True,False,False,True,False,True,False
0,0,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
19,4,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
11,1,0.050000000000000044,False,False,False,True,False,False,False,True,True,False
14,5,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
14,3,0.050000000000000044,False,True,False,False,False,False,False,True,False,True
2,1,0.050000000000000044,False,False,False,False,True,False,False,False,False,True
21,4,0.050000000000000044,True,False,False,False,False,False,True,False,False,False
4,6,0.050000000000000044,False,True,False,False,False,True,False,False,True,False
4,3,0.050000000000000044,True,False,False,False,False,True,False,False,False,True
8,4,0.050000000000000044,False,False,False,True,False,True,False,False,False,True
5,4,0.050000000000000044,False,False,False,True,False,False,True,False,False,True
20,2,0.050000000000000044,False,False,False,True,False,False,False,True,False,False
23,0,0.050000000000000044,False,True,False,False,False,False,False,True,False,False
15,4,0.050000000000000044,False,False,False,False,True,False,False,False,False,True
16,2,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
2,6,0.050000000000000044,True,False,False,False,False,False,False,True,False,True
3,3,0.050000000000000044,False,True,False,False,True,False,False,False,True,False
6,1,0.050000000000000044,False,False,False,True,True,False,False,False,True,False
3,2,0.050000000000000044,False,True,False,False,False,False,True,False,False,False
22,1,0.050000000000000044,False,True,False,False,False,False,False,False,False,False
5,1,0.050000000000000044,False,False,True,False,False,False,True,False,True,False
18,0,0.050000000000000044,False,True,False,False,True,False,False,False,False,False
4,6,0.050000000000000044,False,True,False,False,False,False,True,False,True,False
8,0,0.050000000000000044,False,False,False,False,True,False,False,False,False,False
7,1,0.050000000000000044,False,True,False,False,False,True,False,False,False,True
3,4,0.050000000000000044,True,False,False,False,False,False,False,False,False,False
2,3,0.050000000000000044,False,True,False,False,True,False,False,False,True,False
7,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,False
3,6,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
21,2,0.050000000000000044,False,False,False,True,False,False,False,False,True,False
18,5,0.050000000000000044,True,False,False,False,False,False,False,True,False,True
13,2,0.050000000000000044,False,False,False,True,False,True,False,False,True,False
2,6,0.050000000000000044,False,False,True,False,False,False,False,False,False,True
21,5,0.050000000000000044,True,False,False,False,False,False,True,False,True,False
5,5,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
5,4,0.050000000000000044,False,False,False,True,False,False,False,False,False,False
8,1,0.050000000000000044,False,False,False,True,True,False,False,False,False,True
19,3,0.050000000000000044,False,False,False,True,False,False,False,False,False,True
9,6,0.050000000000000044,False,False,True,False,False,True,False,False,False,True
8,2,0.12,False,False,False,False,False,False,True,False,False,False
12,1,0.12,False,False,False,False,False,False,False,True,False,True
8,5,0.12,False,False,False,False,False,False,False,True,False,True
3,5,0.12,False,False,False,True,False,True,False,False,False,True
1,0,0.12,True,False,False,False,False,False,True,False,True,False
4,4,0.12,False,True,False,False,False,True,False,False,True,False
10,0,0.12,True,False,False,False,False,False,False,False,False,True
12,6,0.12,False,False,False,True,False,False,False,False,False,True
17,3,0.12,False,True,False,False,False,False,False,True,True,False
23,1,0.12,True,False,False,False,False,False,False,False,False,False
23,0,0.12,False,False,False,True,False,True,False,False,False,True
21,0,0.12,False,False,False,True,True,False,False,False,False,True
8,6,0.12,False,False,False,False,False,False,False,True,False,True
5,5,0.12,False,False,False,False,True,False,False,False,False,True
1,0,0.12,False,False,False,True,False,False,False,True,False,True
1,5,0.12,False,False,False,True,False,True,False,False,True,False
0,2,0.12,False,False,True,False,False,False,False,False,False,True
13,6,0.12,False,True,False,False,False,True,False,False,True,False
11,0,0.12,False,False,False,True,False,False,True,False,True,False
14,1,0.12,False,False,False,False,True,False,False,False,False,True
4,3,0.12,False,False,False,True,False,False,False,False,False,False
18,4,0.12,True,False,False,False,False,False,False,False,True,False
